FECHA,HORA,PRECIO,TERMICA,HIDRAULICA,SOLAR,COGENERADOR,EOLICA
2024-09-26,1,905.69,3785754.22,4559576.16,0.0,108358.3,281.42
2024-09-26,2,905.69,3873478.33,4292292.39,0.0,108995.87,0.0
2024-09-26,3,905.69,3989116.99,4088057.73,0.0,107669.89,480.79999999999995
2024-09-26,4,905.69,4100752.93,4373762.15,0.0,107953.26,1867.3000000000002
2024-09-26,5,905.69,4086232.59,4767284.600000001,944.56,109766.40999999999,5332.26
2024-09-26,6,905.69,3999379.86,4852946.22,131943.82,107366.22,4169.62
2024-09-26,7,905.69,3981470.15,5040690.4,404892.94,107240.57,1598.31
2024-09-26,8,905.69,3977356.43,5127795.46,642094.9199999999,107646.3,7283.72
2024-09-26,9,906.09,3991235.77,5120733.83,893865.03,106536.31,16432.43
2024-09-26,10,932.59,3978856.4699999997,5286942.66,1057287.3599999999,81835.09999999999,20252.43
2024-09-26,11,932.59,3975080.6799999997,5333311.46,1289813.04,91416.39,14031.8
2024-09-26,12,932.59,3783206.2199999997,5486969.5,1319114.93,98701.95,7131.4
2024-09-26,13,932.59,3706864.2399999998,5745006.95,1206928.3,98316.05,6506.030000000001
2024-09-26,14,932.59,3703785.84,6121534.399999999,1004938.38,100569.06,4782.83
2024-09-26,15,934.56,3723541.14,6407332.56,743420.0,94750.48,15648.39
2024-09-26,16,934.56,3740516.3,6647614.41,333393.75,92688.09,24351.09
2024-09-26,17,934.56,3820630.91,6694132.88,44655.88,98164.34,24787.760000000002
2024-09-26,18,934.56,3849491.6,7223326.85,35.6,97720.73,18537.239999999998
2024-09-26,19,934.56,3860698.52,7278577.65,0.0,93601.22,19115.96
2024-09-26,20,934.56,3893830.32,6993905.7700000005,0.0,97155.0,12539.54
2024-09-26,21,934.55,3888483.35,6572886.25,0.0,97079.48,5626.530000000001
2024-09-26,22,932.59,3879996.06,5959212.75,0.0,92411.04000000001,3545.59
2024-09-26,23,915.09,3881548.48,5429245.2,0.0,89074.95,3314.66
2024-09-27,0,889.12,3958063.55,4783726.97,0.0,86404.18,4563.68
2024-09-27,1,889.12,3921635.04,4582185.31,0.0,81058.32,2319.04
2024-09-27,2,889.12,3829610.29,4500411.51,0.0,82122.02,2871.46
2024-09-27,3,889.12,3895238.42,4497465.81,0.0,81223.95,1612.1399999999999
2024-09-27,4,889.12,3938960.4899999998,4651771.96,0.0,77231.28,0.0
2024-09-27,5,890.12,3872293.4,5032161.92,1554.35,84610.86,0.0
2024-09-27,6,890.12,3869023.7,4951153.19,170515.26,81617.8,0.0
2024-09-27,7,890.12,3811196.48,4991731.2299999995,554911.22,85312.64,1070.12
2024-09-27,8,890.12,3728159.52,4898252.24,1162034.01,84904.78,2705.75
2024-09-27,9,891.12,3676278.96,5112532.55,1341458.32,81851.32,1912.52
2024-09-27,10,891.12,3546094.5300000003,5578773.59,1420603.03,82895.64,8517.539999999999
2024-09-27,11,906.12,3580058.27,5808863.76,1416122.19,79970.96,16689.190000000002
2024-09-27,12,930.62,3498906.35,6021282.01,1261579.54,81014.04000000001,11410.48
2024-09-27,13,930.62,3476338.63,6272678.65,1221684.06,78020.44,8875.18
2024-09-27,14,930.62,3463872.15,6517208.25,1006081.3200000001,74756.67,13326.43
2024-09-27,15,930.62,3481556.38,6604352.79,899092.86,75186.21,24806.37
2024-09-27,16,930.62,3474041.52,7000700.07,376555.35,75187.28,25546.489999999998
2024-09-27,17,930.62,3587226.5,7008369.38,54430.4,74722.98999999999,26611.82
2024-09-27,18,934.59,3714569.7800000003,7489075.37,58.45,78906.39,20871.58
2024-09-27,19,934.59,3584590.34,7618735.72,0.0,78570.19,17504.79
2024-09-27,20,934.59,3423880.6999999997,7553699.13,0.0,79469.31,10327.91
2024-09-27,21,930.62,3412500.04,7006403.100000001,0.0,77185.92,8402.02
2024-09-27,22,930.62,3423525.21,6483115.68,0.0,74252.3,4739.1
2024-09-27,23,930.62,3471727.69,6013501.0,0.0,75878.96,3039.37
2024-09-28,0,915.15,3569627.47,5516010.62,0.0,76731.95,2789.65
2024-09-28,1,889.15,3675970.33,5208981.37,0.0,76491.64,735.21
2024-09-28,2,888.02,3656679.39,4921912.68,0.0,73354.76,0.0
2024-09-28,3,888.02,3700156.69,4728179.87,0.0,74895.5,0.0
2024-09-28,4,889.15,3456441.31,5030893.82,0.0,75636.74,0.0
2024-09-28,5,889.15,3426644.15,5102308.78,699.61,79579.42,0.0
2024-09-28,6,889.15,3340440.56,5244914.87,104449.18,83080.0,998.74
2024-09-28,7,889.15,3310006.8699999996,5530467.91,307137.27,95191.62,6333.589999999999
2024-09-28,8,889.15,3396443.49,5705611.2,511765.08999999997,100372.81,8270.25
2024-09-28,9,889.15,3453437.1,5663862.22,828384.59,97493.6,6386.65
2024-09-28,10,889.15,3394918.73,5498018.03,1144502.87,95206.36,1128.26
2024-09-28,11,934.61,3366081.02,5676163.39,1157087.78,95367.56,3427.74
2024-09-28,12,889.15,3361494.7,5666306.86,1089103.7,97988.6,6854.32
2024-09-28,13,934.61,3278902.54,5869126.23,972238.96,104173.46,3839.01
2024-09-28,14,934.62,3108698.14,6016305.12,945646.04,102406.19,1724.09
2024-09-28,15,934.62,3122014.2600000002,6296211.26,573818.23,102083.82,4263.11
2024-09-28,16,934.62,3166182.35,6518153.58,223647.34,100647.05,2254.7
2024-09-28,17,934.62,3355817.83,6603650.24,19280.06,95719.65,174.9
2024-09-28,18,934.63,3485268.66,7033708.32,27.290000000000003,101224.92,5458.23
2024-09-28,19,934.63,3538228.58,6855294.76,0.0,102713.19,3455.93
2024-09-28,20,934.63,3526355.57,6615131.81,0.0,107130.9,12108.64
2024-09-28,21,934.62,3511858.19,6198775.66,0.0,108016.56,9841.46
2024-09-28,22,934.62,3569678.2,5702473.22,0.0,107150.39,4553.33
2024-09-28,23,934.62,3626251.9899999998,5184826.5600000005,0.0,99701.34,2748.2200000000003
2024-09-29,0,934.57,3661067.24,4611921.01,0.0,97732.06,319.56
2024-09-29,1,893.02,3690996.47,4416752.3,0.0,104355.67,0.0
2024-09-29,2,887.96,3561058.29,4364489.78,0.0,106761.3,0.0
